,0
const,416.4287381477636
Hour,26.442814631240864
Humidity(%),-16.63405177482696
Wind speed (m/s),14.3098905869738
Dew point temperature(C),30.64829235094306
Solar Radiation (MJ/m2),-84.59364936967808
Rainfall(mm),-51.05952089978304
Snowfall (cm),45.48139928201174
Seasons_Spring,-123.63616280967372
Seasons_Summer,-188.79649985003383
Seasons_Winter,-350.21504767692153
Holiday_No Holiday,124.48716151451201
Functioning Day_Yes,940.1536828869123
